run_id,model,problem_id,original_problem_id,sample,label,raw_label,final_label,extraction_mode,code_ran,schema_ok,objective_match,has_build_model,failed_checks,failed_requirement_checks,formulation_violations,flagged_formulation_violations,audit_error,prompt_hash,response_time_sec,prompt_eval_count,eval_count,output_truncated,silent_bug_type,silent_bug_requirements,silent_bug_source,report_categories,total_requirement_count,layer1_requirement_count,canonical_layer1_requirement_count,layer2_active_probe_count,total_diagnostic_requirement_count,failed_requirement_check_count,formulation_violation_count,total_violation_count,error_type,error_detail
p2__gpt-5-nano__s0,gpt-5-nano,2,2,0,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,87.24,1239,11187,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s1,gpt-5-nano,2,2,1,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,75.137,1239,9585,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s2,gpt-5-nano,2,2,2,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,80.072,1239,9755,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s3,gpt-5-nano,2,2,3,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,56.639,1239,6594,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s4,gpt-5-nano,2,2,4,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,84.684,1239,12919,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s5,gpt-5-nano,2,2,5,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p2.R5.C1,p2.R6.C1,p2.R8.C1,p2.obj.C2","p2.R5.C1,p2.R6.C1,p2.R8.C1",,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,71.513,1239,11131,False,,,none,,9,8,8,9,17,3,0,3,,
p2__gpt-5-nano__s6,gpt-5-nano,2,2,6,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,57.471,1239,10979,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s7,gpt-5-nano,2,2,7,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,51.255,1239,10918,False,,,none,,9,8,8,9,17,0,0,0,,
p2__gpt-5-nano__s8,gpt-5-nano,2,2,8,code_failure,code_failure,code_failure,recovered_prose_slice,False,False,False,False,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,30.827,1239,5876,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p2__gpt-5-nano__s8\execute_generated.py"", line 48, in <module>
    result = module.solve(data)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p2__gpt-5-nano__s8\generated_model.py"", line 55, in solve
    gp.GRB.INTERrupted if hasattr(gp.GRB, 'INTERRUPTED') else None: ""INTERRUPTED"",
    ^^^^^^^^^^^^^^^^^^
AttributeError: type object 'GRB' has no attribute 'INTERrupted'. Did you mean: 'INTERRUPTED'?"
p2__gpt-5-nano__s9,gpt-5-nano,2,2,9,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,cb63d386a3ed192e2ffb4f5ffe3a89d2eace331a8499a26195661ce29656ccba,44.514,1239,9620,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s0,gpt-5-nano,3,3,0,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,27.462,1267,5297,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s1,gpt-5-nano,3,3,1,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,25.076,1267,4871,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s2,gpt-5-nano,3,3,2,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,28.458,1267,4569,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s3,gpt-5-nano,3,3,3,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p3.obj.C1,p3.obj.C2",,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,52.617,1267,9912,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s4,gpt-5-nano,3,3,4,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,57.848,1267,10741,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s5,gpt-5-nano,3,3,5,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,31.501,1267,6022,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s6,gpt-5-nano,3,3,6,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,204.273,1267,4569,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s7,gpt-5-nano,3,3,7,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,83.632,1267,14950,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s8,gpt-5-nano,3,3,8,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,31.68,1267,5455,False,,,none,,9,8,8,9,17,0,0,0,,
p3__gpt-5-nano__s9,gpt-5-nano,3,3,9,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,06f21baafa3c1f9e7e43acc3898621e66105f47b1f9390380cc94ccadf2a4c92,37.108,1267,5844,False,,,none,,9,8,8,9,17,0,0,0,,
p4__gpt-5-nano__s0,gpt-5-nano,4,4,0,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,39.779,1338,6267,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s1,gpt-5-nano,4,4,1,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,34.749,1338,5354,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s2,gpt-5-nano,4,4,2,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,22.771,1338,3163,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s3,gpt-5-nano,4,4,3,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,34.496,1338,5758,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s4,gpt-5-nano,4,4,4,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,33.82,1338,5268,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s5,gpt-5-nano,4,4,5,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,26.247,1338,4162,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s6,gpt-5-nano,4,4,6,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,18.055,1338,2591,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s7,gpt-5-nano,4,4,7,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,44.661,1338,7458,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s8,gpt-5-nano,4,4,8,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,24.391,1338,4159,False,,,none,,6,5,5,6,11,1,0,1,,
p4__gpt-5-nano__s9,gpt-5-nano,4,4,9,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p4.R5.C1,p4.obj.C2",p4.R5.C1,,,,e7ae31c2078ac2d39ade9176596be7083d8914e6e38ab742030f7eafdb82d066,39.165,1338,5928,False,,,none,,6,5,5,6,11,1,0,1,,
p5__gpt-5-nano__s0,gpt-5-nano,5,5,0,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,43.546,1253,6123,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s1,gpt-5-nano,5,5,1,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,40.354,1253,5909,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s2,gpt-5-nano,5,5,2,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,49.685,1253,7531,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s3,gpt-5-nano,5,5,3,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,40.92,1253,6153,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s4,gpt-5-nano,5,5,4,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,55.332,1253,7637,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s5,gpt-5-nano,5,5,5,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,62.893,1253,9620,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s6,gpt-5-nano,5,5,6,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,31.762,1253,4185,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s7,gpt-5-nano,5,5,7,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,41.665,1253,5902,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s8,gpt-5-nano,5,5,8,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,41.074,1253,5960,False,,,none,,9,8,8,9,17,0,0,0,,
p5__gpt-5-nano__s9,gpt-5-nano,5,5,9,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,512e2f6930bdd918fae92238f808930fed1751a9458c5e94102d366c9945f680,61.322,1253,8613,False,,,none,,9,8,8,9,17,0,0,0,,
p6__gpt-5-nano__s0,gpt-5-nano,6,6,0,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,41.957,2288,6719,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s1,gpt-5-nano,6,6,1,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,31.849,2288,4518,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s2,gpt-5-nano,6,6,2,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,25.454,2288,3908,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s3,gpt-5-nano,6,6,3,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,33.832,2288,5725,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s4,gpt-5-nano,6,6,4,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,46.775,2288,6288,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s5,gpt-5-nano,6,6,5,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,58.17,2288,9613,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s6,gpt-5-nano,6,6,6,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,27.247,2288,4495,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s7,gpt-5-nano,6,6,7,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,29.981,2288,4655,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s8,gpt-5-nano,6,6,8,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,26.572,2288,4407,False,,,none,,7,6,6,7,13,0,0,0,,
p6__gpt-5-nano__s9,gpt-5-nano,6,6,9,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,5da4c2f02a828486a6d609579a7fa4938f3301e8563e6f426f7f96f411d68931,29.988,2288,4516,False,,,none,,7,6,6,7,13,0,0,0,,
p7__gpt-5-nano__s0,gpt-5-nano,7,7,0,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,95.131,2979,12238,False,structural_constraint_error,"fviol:R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_misspecification,25,24,24,25,49,0,12,12,,
p7__gpt-5-nano__s1,gpt-5-nano,7,7,1,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,99.047,2979,12032,False,structural_constraint_error,"fviol:R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_omission,25,24,24,25,49,0,3,3,,
p7__gpt-5-nano__s2,gpt-5-nano,7,7,2,loud_bug,contract_failure,loud_bug,recovered_prose_slice,True,True,False,True,"p7.R_nobacklog_end_I.C1,p7.R_nobacklog_end_II.C1,p7.R_nobacklog_end_III.C1,p7.obj.C2","p7.R_nobacklog_end_I.C1,p7.R_nobacklog_end_II.C1,p7.R_nobacklog_end_III.C1",,,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,121.34,2979,15565,False,,,none,,25,24,24,25,49,3,0,3,,
p7__gpt-5-nano__s3,gpt-5-nano,7,7,3,contract_failure,contract_failure,contract_failure,no_code_found,False,False,False,False,,,,,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,151.422,2979,16000,True,,,none,,,,,,,0,0,0,contract_failure,missing required function build_model(data)
p7__gpt-5-nano__s4,gpt-5-nano,7,7,4,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,110.718,2979,12356,False,structural_constraint_error,"fviol:R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_misspecification,25,24,24,25,49,0,12,12,,
p7__gpt-5-nano__s5,gpt-5-nano,7,7,5,contract_failure,contract_failure,contract_failure,no_code_found,False,False,False,False,,,,,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,138.681,2979,16000,True,,,none,,,,,,,0,0,0,contract_failure,missing required function build_model(data)
p7__gpt-5-nano__s6,gpt-5-nano,7,7,6,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,148.786,2979,15530,False,structural_constraint_error,"fviol:R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_misspecification,25,24,24,25,49,0,3,3,,
p7__gpt-5-nano__s7,gpt-5-nano,7,7,7,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,83.352,2979,9681,False,structural_constraint_error,"fviol:R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_misspecification,25,24,24,25,49,0,12,12,,
p7__gpt-5-nano__s8,gpt-5-nano,7,7,8,silent_bug,contract_failure,silent_bug,recovered_prose_slice,True,True,True,True,,,"R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,126.025,2979,13393,False,structural_constraint_error,"fviol:R_bal_I_2,R_bal_I_3,R_bal_I_4,R_bal_II_2,R_bal_II_3,R_bal_II_4,R_bal_III_2,R_bal_III_3,R_bal_III_4,R_nobacklog_end_I,R_nobacklog_end_II,R_nobacklog_end_III",formulation_only,constraint_misspecification,25,24,24,25,49,0,12,12,,
p7__gpt-5-nano__s9,gpt-5-nano,7,7,9,contract_failure,contract_failure,contract_failure,no_code_found,False,False,False,False,,,,,,892befbe62d04a1714971532caa8264c422382e126c29e8bdb237f761eed87e2,152.875,2979,16000,True,,,none,,,,,,,0,0,0,contract_failure,missing required function build_model(data)
p8__gpt-5-nano__s0,gpt-5-nano,8,8,0,code_failure,code_failure,code_failure,recovered_prose_slice,False,False,False,False,,,,,,0764e3c78fe3ba50ce63376b5a3a68ac50241aac91ae2d3ab72773f5d754b9c6,34.702,1458,5127,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p8__gpt-5-nano__s0\execute_generated.py"", line 48, in <module>
    result = module.solve(data)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p8__gpt-5-nano__s0\generated_model.py"", line 67, in solve
    GRB.NODE_DOWN: ""NODE_DOWN"",
    ^^^^^^^^^^^^^
AttributeError: type object 'GRB' has no attribute 'NODE_DOWN'"
p8__gpt-5-nano__s1,gpt-5-nano,8,8,1,code_failure,code_failure,code_failure,recovered_prose_slice,False,False,False,False,,,,,,0764e3c78fe3ba50ce63376b5a3a68ac50241aac91ae2d3ab72773f5d754b9c6,32.05,1458,4633,False,,,none,,,,,,,0,0,0,runtime_error,"Traceback (most recent call last):
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p8__gpt-5-nano__s1\execute_generated.py"", line 48, in <module>
    result = module.solve(data)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p8__gpt-5-nano__s1\generated_model.py"", line 36, in solve
    model, variables = build_model(data)
                       ^^^^^^^^^^^^^^^^^
  File ""C:\Users\maamr\Desktop\g5\Exp_1\gpt5_nano_final\execution_workdirs\p8__gpt-5-nano__s1\generated_model.py"", line 6, in build_model
    s1 = m.addVar(vtype=gp.GRB.INT, name=""s1"", lb=0)
                        ^^^^^^^^^^
AttributeError: type object 'GRB' has no attribute 'INT'"
p8__gpt-5-nano__s2,gpt-5-nano,8,8,2,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,0764e3c78fe3ba50ce63376b5a3a68ac50241aac91ae2d3ab72773f5d754b9c6,27.404,1458,4139,False,,,none,,11,10,10,11,21,0,0,0,,
p8__gpt-5-nano__s3,gpt-5-nano,8,8,3,correct,contract_failure,correct,recovered_prose_slice,True,True,True,True,,,,,,0764e3c78fe3ba50ce63376b5a3a68ac50241aac91ae2d3ab72773f5d754b9c6,35.511,1458,4022,False,,,none,,11,10,10,11,21,0,0,0,,
